num_of_agents,num_of_items,L,D,greedy_approximation,greedy_approximation_to_total,greedy_approximation_to_MMS,weak_greedy_approximation,weak_greedy_approximation_to_total,weak_greedy_approximation_to_MMS
8,416,1,12,35383,8,66,35383,8,66
8,416,2,20,42450,9,79,42450,9,79
8,416,3,28,45399,10,85,45399,10,85
8,416,4,36,47087,11,88,47084,11,88
8,416,5,44,48127,11,90,48120,11,90
8,416,6,52,48859,11,92,48852,11,92
8,416,7,60,49289,11,92,49266,11,92
8,416,8,68,49738,11,93,49736,11,93
8,416,9,76,49791,11,93,49761,11,93
8,448,1,12,38720,8,66,38720,8,66
8,448,2,20,46460,9,79,46460,9,79
8,448,3,28,49727,10,85,49722,10,85
8,448,4,36,51596,11,88,51592,11,88
8,448,5,44,52751,11,90,52745,11,90
8,448,6,52,53363,11,91,53358,11,91
8,448,7,60,53951,11,92,53949,11,92
8,448,8,68,54539,11,93,54512,11,93
8,448,9,76,54750,11,94,54747,11,94
8,480,1,12,40758,8,66,40758,8,66
8,480,2,20,48892,9,79,48892,9,79
8,480,3,28,52344,10,85,52344,10,85
8,480,4,36,54286,11,88,54284,11,88
8,480,5,44,55543,11,90,55540,11,90
8,480,6,52,56350,11,92,56340,11,92
8,480,7,60,56914,11,93,56889,11,93
8,480,8,68,57300,11,93,57288,11,93
8,480,9,76,57610,11,94,57591,11,94
8,512,1,12,40288,8,66,40288,8,66
8,512,2,20,48344,9,79,48344,9,79
8,512,3,28,51785,10,85,51783,10,85
8,512,4,36,53682,11,88,53680,11,88
8,512,5,44,54894,11,90,54885,11,90
8,512,6,52,55720,11,92,55716,11,92
8,512,7,60,56341,11,93,56336,11,93
8,512,8,68,56606,11,93,56600,11,93
8,512,9,76,56794,11,93,56772,11,93
8,544,1,12,44817,8,66,44817,8,66
8,544,2,20,53773,9,79,53772,9,79
8,544,3,28,57582,10,85,57582,10,85
8,544,4,36,59667,11,88,59664,11,88
8,544,5,44,61084,11,90,61075,11,90
8,544,6,52,61931,11,92,61920,11,92
8,544,7,60,62603,11,93,62594,11,93
8,544,8,68,63134,11,93,63120,11,93
8,544,9,76,63546,11,94,63522,11,94
8,576,1,12,47678,8,66,47678,8,66
8,576,2,20,57209,9,79,57208,9,79
8,576,3,28,61241,10,85,61239,10,85
8,576,4,36,63534,11,88,63520,11,88
8,576,5,44,64965,11,90,64965,11,90
8,576,6,52,65926,11,92,65922,11,92
8,576,7,60,66687,11,93,66682,11,93
8,576,8,68,67209,11,93,67200,11,93
8,576,9,76,67507,11,94,67491,11,94
8,608,1,12,48163,8,66,48163,8,66
8,608,2,20,57793,9,79,57792,9,79
8,608,3,28,61917,10,85,61914,10,85
8,608,4,36,64206,11,88,64204,11,88
8,608,5,44,65659,11,90,65655,11,90
8,608,6,52,66661,11,92,66648,11,92
8,608,7,60,67326,11,93,67312,11,93
8,608,8,68,67801,11,93,67768,11,93
8,608,9,76,68300,11,94,68292,11,94
10,40,1,15,2237,5,56,2237,5,56
10,40,2,25,2010,5,50,2010,5,50
10,40,3,35,1148,2,28,1140,2,28
10,40,4,45,0,0,0,0,0,0
10,40,5,55,0,0,0,0,0,0
10,40,6,65,0,0,0,0,0,0
10,40,7,75,0,0,0,0,0,0
10,40,8,85,0,0,0,0,0,0
10,40,9,95,0,0,0,0,0,0
10,80,1,15,5834,6,65,5834,6,65
10,80,2,25,6479,7,72,6478,7,72
10,80,3,35,6310,7,70,6306,7,70
10,80,4,45,5619,6,63,5556,6,62
10,80,5,55,4727,5,53,4715,5,53
10,80,6,65,3414,3,38,3216,3,36
10,80,7,75,1568,1,17,1330,1,14
10,80,8,85,220,0,2,0,0,0
10,80,9,95,0,0,0,0,0,0
10,120,1,15,8740,6,66,8740,6,66
10,120,2,25,10378,7,78,10376,7,78
10,120,3,35,10939,8,83,10935,8,83
10,120,4,45,10928,8,83,10912,8,82
10,120,5,55,10432,7,79,10390,7,79
10,120,6,65,9360,7,71,9336,7,70
